end_to_end	chemical_ner	gene_ner	text
None	B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	TCDD increased the expression of 40 % of the genes of the epidermal differentiation complex found on chromosome 1q21 and 75 % of the genes required for de novo ceramide biosynthesis .
None	O O O O O O O O O O B-CHEMICAL O O O B-CHEMICAL O O O O O B-CHEMICAL O O B-CHEMICAL O O	O O O O O O O O O O O O O O O O O O O O O O O O O O	Lipid analysis demonstrated that eight of the nine classes of ceramides were increased by TCDD , altering the ratio of ceramides to free fatty acids .
(0, 6, CPR_4) , (0, 9, CPR_4)	B-CHEMICAL O O O O O B-CHEMICAL O O O O O O O O O O O O O O O O O O O B-CHEMICAL O	O O O O O O B-GENE-N O O B-GENE-Y O O O O O O O O O O O O O O O O O O	TCDD decreased the expression of the glucose transporter , SLC2A1 , and most of the glycolytic transcripts , followed by decreases in glycolytic intermediates , including pyruvate .
None	B-CHEMICAL O O O O O O O O B-CHEMICAL O O O O	O O O O O O O O O O O O O O	NADH and Krebs cycle intermediates were decreased , whereas NAD(+ ) was increased .
(15, 1, CPR_4)	O B-CHEMICAL O B-CHEMICAL O O O O O B-CHEMICAL O O O O O B-CHEMICAL O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O B-CHEMICAL O O O O O B-CHEMICAL O O	O B-GENE-N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Mitochondrial glutathione ( GSH ) reductase activity and the GSH/glutathione disulfide ratio were decreased by TCDD , ultimately leading to mitochondrial dysfunction , characterized by decreased inner mitochondrial membrane potential and ATP production , and increased production of the reactive oxygen species ( ROS ) , hydrogen peroxide .
None	B-CHEMICAL O O O O O O O O O O O O O B-CHEMICAL O O O O O O B-CHEMICAL O O O O O O O O O O	B-GENE-Y O O O B-GENE-Y O O O O O O O O O O O O O O O O O O O O O O O O O B-GENE-Y O	Aryl hydrocarbon receptor ( AHR ) antagonists blocked the response of many transcripts to TCDD , and the endpoints of decreased ATP production and differentiation , suggesting regulation by the AHR .
None	O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O O O	O O O O O O O O O B-GENE-Y O O O O O O O O O O O O O O O O	Cotreatment of cells with chemical antioxidants or the enzyme catalase blocked the TCDD-mediated acceleration of keratinocyte cornified envelope formation , an endpoint of terminal differentiation .
None	O O B-CHEMICAL O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O	Thus , TCDD-mediated ROS production is a critical step in the mechanism of this chemical to accelerate keratinocyte differentiation .
(8, 0, CPR_9)	B-CHEMICAL O O O O O O O B-CHEMICAL O O	B-GENE-Y O O O O O O O O O O	ATP-binding cassette transporter A1 is involved in hepatic alpha-tocopherol secretion .
None	B-CHEMICAL O O B-CHEMICAL O O O O O O O O O O	O O O O O O O O O O O O O O	Vitamin E ( alpha-tocopherol ) is an essential fat-soluble nutrient with antioxidant properties .
(28, 0, CPR_9) , (28, 4, CPR_9) , (35, 0, CPR_9) , (35, 4, CPR_9)	B-CHEMICAL O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O B-CHEMICAL O O O O O O B-CHEMICAL O O O O	B-GENE-Y O O O B-GENE-Y O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	alpha-Tocopherol transfer protein ( alpha-TTP ) , the product of the gene responsible for familial isolated vitamin E deficiency , plays an important role in maintaining the plasma alpha-tocopherol level by mediating the secretion of alpha-tocopherol by the liver .
None	O O O O O O B-CHEMICAL O O O O O O	O O O O O O O O O O O O O	However , the mechanisms underlying hepatic alpha-tocopherol secretion are not fully understood .
None	O O O O O O O O O B-CHEMICAL O O O O O O O O O O O O O O B-CHEMICAL O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O	This study was undertaken to elucidate the mechanism of alpha-tocopherol re-efflux from hepatocytes , the cells that have the most important role in regulating plasma-alpha-tocopherol concentrations .
None	O O O O O B-CHEMICAL O O O O O O O B-CHEMICAL O O O O O O O O O O O O	O O O O O O O O O O O O O B-GENE-Y O O O B-GENE-Y O O O O O O O O	From in vitro experiments using [(3)H]alpha-tocopheryl acetate and McARH7777 cells that stably express alpha-tocopherol transfer protein ( alpha-TTP ) , the following results were obtained .
(23, 4, CPR_9) , (23, 7, CPR_9) , (23, 15, CPR_9) , (23, 19, CPR_9)	O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O B-CHEMICAL O O O O O O	O O O O B-GENE-Y O O B-GENE-Y O O O O O O O B-GENE-Y O O O B-GENE-Y O O O O O O O O O O	First , addition of apolipoprotein A-I ( apoA-I ) , a direct acceptor of the ATP-binding cassette transporter A1 (ABCA1)-secreted lipids , increased alpha-tocopherol secretion in a dose-dependent manner .
(2, 13, CPR_4)	O O B-CHEMICAL O O O O O O O O O O O O O B-CHEMICAL O O	O O O O O O O O O O O O O B-GENE-Y O O O O O	Second , probucol , an antiatherogenic compound reported to be an inactivator of ABCA1 reduced hepatic alpha-tocopherol secretion .
(5, 2, CPR_9)	O O O O O B-CHEMICAL O O	O O B-GENE-Y O O O O O	Third , ABCA1-RNAi suppressed hepatic alpha-tocopherol secretion .
None	O O O O O O O O O O O B-CHEMICAL O O O O O B-CHEMICAL O O	O O O O O O O O O O O O O O O O O O O O	In a mouse in vivo experiment , addition of 1 % probucol to the diet decreased plasma alpha-tocopherol concentrations .
(11, 5, CPR_9)	O O O O O O O O O O O B-CHEMICAL O O	O O O O O B-GENE-Y O O O O O O O O	These results strongly suggest that ABCA1 is substantially involved in hepatic alpha-tocopherol secretion .
None	O O O O O O O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O	O O O B-GENE-N O O O O O O O O O O O O O O O O O O	Crystal structures of protein phosphatase-1 bound to motuporin and dihydromicrocystin-LA : elucidation of the mechanism of enzyme inhibition by cyanobacterial toxins .
None	O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	The microcystins and nodularins are tumour promoting hepatotoxins that are responsible for global adverse human health effects and wildlife fatalities in countries where drinking water supplies contain cyanobacteria .
None	O O O O O O O B-CHEMICAL O O O O O O O O O O O O O	O O O O O O O B-GENE-N O O O O O O O O O O O O O	The toxins function by inhibiting broad specificity Ser/Thr protein phosphatases in the host cells , thereby disrupting signal transduction pathways .
None	O O O O O O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O B-GENE-N O O B-GENE-N O O O O O O O O O O O O B-GENE-N O O O O O O O	A previous crystal structure of a microcystin bound to the catalytic subunit of protein phosphatase-1 ( PP-1c ) showed distinct changes in the active site region when compared with protein phosphatase-1 structures bound to other toxins .
None	O O O O O O O O O O B-CHEMICAL O B-CHEMICAL O O B-CHEMICAL O O O O O O O O O O	O O O O O O O O B-GENE-N O O O O O O O O O B-GENE-Y O O O O O O O	We have elucidated the crystal structures of the cyanotoxins , motuporin ( nodularin-V ) and dihydromicrocystin-LA bound to human protein phosphatase-1c ( gamma isoform ) .
None	O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O B-GENE-N O O O O O	The atomic structures of these complexes reveal the structural basis for inhibition of protein phosphatases by these toxins .
None	O O O O O O O O O O O O O O O O O B-CHEMICAL O O B-CHEMICAL O O O O O O O O O O O O O B-CHEMICAL O O	O O O O O O B-GENE-N O O B-GENE-N O O O O O O O O O O O O O O B-GENE-N O O O O O O O O O O O O	Comparisons of the structures of the cyanobacterial toxin : phosphatase complexes explain the biochemical mechanism by which microcystins but not nodularins permanently modify their protein phosphatase targets by covalent addition to an active site cysteine residue .
None	O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O	O O B-GENE-Y O O O O O O O O O O O	A cocaine-sensitive Drosophila serotonin transporter : cloning , expression , and electrophysiological characterization .
None	O B-CHEMICAL O O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O	O O O O B-GENE-Y O O O O O O O O O O B-GENE-Y O O O O O O O O	A cocaine-sensitive , high-affinity Drosophila serotonin ( 5-hydroxytryptamine ; 5HT ) transporter cDNA , denoted dSERT1 , was isolated and characterized in oocytes .
None	O O O O O O B-CHEMICAL O O B-CHEMICAL O B-CHEMICAL O O	B-GENE-Y O O O O O O O O O O O O O	dSERT1 shows little transport of other monoamines and is Na+ and Cl- dependent .
None	O O O O O O O O O O O O O O O O O O O B-CHEMICAL O B-CHEMICAL O O B-CHEMICAL O O	O O O O O O O O O O O O O O O O B-GENE-Y O B-GENE-N O O O O O O O O	Sequence analysis indicates 12 putative transmembrane domains and strong homologies ( approximately 50 % ) among dSERT1 and mammalian 5HT , norepinephrine , and dopamine transporters .
None	O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O O O B-CHEMICAL O O	O O O O O O B-GENE-Y O O O O O O O O O O O O B-GENE-N O O O O B-GENE-N O O O	Interestingly , the pharmacological properties of dSERT1 , including sensitivity to antidepressants , are more similar to those of mammalian catecholamine transporters than to mammalian 5HT transporters .
None	O O O O B-CHEMICAL O O O O	O O O O O O O O O	Two-electrode voltage-clamp analysis demonstrated 5HT-induced , voltage-dependent currents .
None	O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O O O O	O O O O B-GENE-Y O O O O O O O O O B-GENE-Y O O O O O O O O O O O O O O	Cloning and characterization of dSERT1 adds significantly to our knowledge of the diversity of 5HT transporters with regard to primary sequence , pharmacological profile , and permeation properties .
None	O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O	Formation of mainstream cigarette smoke constituents prioritized by the World Health Organization -- yield patterns observed in market surveys , clustering and inverse correlations .
None	O O O O O O O O O O O O O O O O B-CHEMICAL O O O	O O O O O O O O O O O O O O O O O O O O	The WHO TobReg proposed mandating ceilings on selected smoke constituents determined from the market-specific median of nicotine-normalized yield distributions .
None	O O O O O O O O O O O O	O O O O O O O O O O O O	Data validating this regulatory concept were obtained from essentially single-blend surveys .
None	O O O O O O O O O O O	O O O O O O O O O O O	This process is strongly impacted by inverse correlations among yields .
None	O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	In the present study , 18 priority WHO smoke constituent yields ( nicotine-normalized ) were determined ( using two smoking regimens ) from 262 commercial brands including American , Virginia and local blends from 13 countries .
None	O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O	Principal Component Analysis was used to identify yields patterns , clustering of blend types and the inverse correlations causing these clusters .
None	O O O O O O O O O O O O	O O O O O O O O O O O O	Three principal components explain about 75 % of total data variability .
None	O O O O O O O O O O O O O	O O O O O O O O O O O O O	PC1 was sensitive to the relative levels of gas- and particle-phase compounds .
None	O O O O O O O O O O O O B-CHEMICAL O O B-CHEMICAL O B-CHEMICAL O O O O O B-CHEMICAL O B-CHEMICAL O O B-CHEMICAL O B-CHEMICAL O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	PC2 and PC3 cluster American- and Virginia-blends , revealing inverse correlations : Nitrogen oxides and amino- or nitroso-aromatic compounds inversely correlate to either formaldehyde and acrolein , or benzo(a)pyrene and di-hydroxybenzenes .
None	O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O	These results can be explained by reviewing the processes determining each components smoke delivery .
None	O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O	Regulatory initiatives simultaneously targeting selected smoke constituents in markets with mixed blend styles will be strongly impacted by the inverse correlations described .
None	O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O	It is difficult to predict the ultimate impact of such regulations on public health , considering the complex chemistry of cigarette smoke formation .
None	O O O O O O B-CHEMICAL O O O O O O O O O	O O O O O O B-GENE-Y O O O O O O B-GENE-Y O O	Atypical neuroleptics have low affinity for dopamine D2 receptors or are selective for D4 receptors .
None	O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O	This review examines the possible receptor basis of the atypical action of those atypical antipsychotic drugs that elicit low levels of Parkinsonism .
None	O O O O O O O O O O O O O O O O B-CHEMICAL O B-CHEMICAL O O	O O O O O O O O O O O O O O O O B-GENE-N O O O O	Such an examination requires consistent and accurate dissociation constants for the antipsychotic drugs at the relevant dopamine and serotonin receptors .
None	O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O	O O O O O O O O O O O O O O O O O O O B-GENE-Y O O O O O O	It has long been known , however , that the dissociation constant of a given antipsychotic drug at the dopamine D2 receptor varies between laboratories .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Although such variation depends on several factors , it has recently been recognized that the radioligand used to measure the competition between the antipsychotic drug and the radioligand is an important variable .
None	O O O O O O O O O O	O O O O O O O O O O	The present review summarizes information on this radioligand dependence .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	In general , a radioligand of low solubility in the membrane ( i.e. , low tissue : buffer partition ) results in a low value for the antipsychotic dissociation constant when the drug competes with the radioligand .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Hence , by first obtaining the antipsychotic dissociation constants using different radioligands of different solubility in the membrane , one can then extrapolate the data to low or  zero  ligand solubility .
None	O O O O O O O O O O O O	O O O O O O O O O O O O	The extrapolated value represents the radioligand-independent dissociation constant of the antipsychotic .
None	O O O O O O B-CHEMICAL O O O O O O O O O B-CHEMICAL O O O	O O O O O O B-GENE-N O O O O O O O O O B-GENE-Y O O O	These values are here given for dopamine D2 and D4 receptors , as well as for serotonin 5-HT2A receptors .
None	O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O	These values , moreover , agree with the dissociation constant directly obtained with the radioactive antipsychotic itself .
None	O O O B-CHEMICAL O O O O O O O O O B-CHEMICAL O O O O O O O O O O B-CHEMICAL O O O	O O O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O O B-GENE-Y O	For example , clozapine revealed a radioligand-independent value of 1.6 nM at the dopamine D4 receptor , agreeing with the value directly measured with [3H]-clozapine at D4 .
None	O O O B-CHEMICAL O O O B-CHEMICAL O O O O O O B-CHEMICAL O O O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	However , because clozapine competes with endogenous dopamine , the in vivo concentration of clozapine ( to occupy dopamine D4 receptors ) can be derived to be about 13 nM , agreeing with the value of 12 to 20 nM in the plasma water or spinal fluid observed in treated patients .
None	O O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O B-CHEMICAL O O O O O B-CHEMICAL O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O O	The atypical neuroleptics remoxipride , clozapine , perlapine , seroquel , and melperone had low affinity for the dopamine D2 receptor ( radioligand-independent dissociation constants of 30 to 90 nM ) .
None	O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O	O O O O O O O O O O O O O O O O O O O O O O	Such low affinity makes these latter five drugs readily displaceable by high levels of endogenous dopamine in the caudate or putamen .
None	O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O B-CHEMICAL O	O O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O O O	Most typical neuroleptics have radioligand-independent values of 0.3 to 5 nM at dopamine D2 receptors , making them more resistant to displacement by endogenous dopamine .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O	Finally , a relation was found between the neuroleptic doses for rat catalepsy and the D2:D4 ratio of the radioligand-independent K values for these two receptors .
None	O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O B-CHEMICAL O O O	O O O O O O O O O O O O O O O O O O O B-GENE-Y O O O O O O O O B-GENE-Y O O O	Thus , the atypical neuroleptics appear to fall into two groups , those that have a low affinity for dopamine D2 receptors and those that are selective for dopamine D4 receptors .
None	O O O O O O O O O O O O O O O O O	B-GENE-N O O O O O O O O O O O O O O O O	alpha7 nicotinic receptor gene promoter polymorphisms in inbred mice affect expression in a cell type-specific fashion .
None	O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O O O O O O O	O O O O O O O O O O O B-GENE-Y O O O O B-GENE-Y O O O O O O O O O O O O O O	Inbred mouse strains display significant differences in their levels of brain alpha7 nicotinic acetylcholine receptor ( alpha7 nAChR ) expression , as measured by binding of the alpha7-selective antagonist alpha-bungarotoxin .
None	O O O O O O O O O O O O O O O B-CHEMICAL O O O O O	O O B-GENE-Y O O O O O O O O O O O O O O O O O O	Variations in alpha-bungarotoxin binding have been shown to correlate with an animal 's sensitivity to nicotine-induced seizures and sensory gating .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-GENE-Y O O O B-GENE-Y O	In two inbred mouse strains , C3H/2Ibg ( C3H ) and DBA/2Ibg ( DBA/2 ) , the inter-strain binding differences are linked to a restriction length polymorphism in the alpha7 nAChR gene , Chrna7 .
None	O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O B-GENE-Y O O O B-GENE-Y O O O O O O	Despite this finding , the molecular mechanism(s ) through which genetic variability in Chrna7 may contribute to alpha7 nAChR expression differences remains unknown .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O B-GENE-Y O O O O B-GENE-Y O O O O O B-GENE-N O O O O O O O O O O O O O O O O O	However , studies of the human alpha7 nAChR gene ( CHRNA7 ) previously have demonstrated that CHRNA7 promoter polymorphisms are associated with differences in promoter activity as well as differences in sensory processing .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O B-GENE-N O O O O O O O O O O O O O O O O O O O O O B-GENE-Y O O O O	In the present study , a 947-base pair region of the Chrna7 promoter was cloned from both the C3H and DBA/2 inbred mouse strains in an attempt to identify polymorphisms that may underlie alpha7 nAChR differential expression .
None	O O O O O O O O B-CHEMICAL O O O O O	O O O O O O O O O O O O O O	Sequence analysis of these fragments identified 14 single nucleotide polymorphisms ( SNPs ) .
None	O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O	A combination of two of these SNPs affects promoter activity in an in vitro luciferase reporter assay .
None	O O O O O O O O O O O O O O O O O O O O	O O O O O O O O B-GENE-N O O O O O O O B-GENE-Y O O O	These results suggest a mechanism through which the Chrna7 promoter genotype may influence interstrain variations in alpha7 nAChR expression .
None	O O O O O O B-CHEMICAL O B-CHEMICAL O B-CHEMICAL O O B-CHEMICAL O O O	O O O O O O O O O O B-GENE-N O O O O O O	Synthesis and in vitro pharmacology at AMPA and kainate preferring glutamate receptors of 4-heteroarylmethylidene glutamate analogues .
(0, 8, CPR_5)	B-CHEMICAL O O O O O O O B-CHEMICAL O O O O O O O B-CHEMICAL O O B-CHEMICAL O O O O B-CHEMICAL O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O B-CHEMICAL O O	O O O O O O O O B-GENE-N O O O O O O O B-GENE-N O O O O O O O O O O O O O O O O O B-GENE-Y O O B-GENE-N O O O O O O O B-GENE-Y O O B-GENE-N O O	2-Amino-3-[3-hydroxy-5-(2-thiazolyl)-4-isoxazolyl]propionic acid ( 1 ) is a potent AMPA receptor agonist with moderate affinity for native kainic acid ( KA ) receptors , whereas (S)-E-4-(2,2-dimethylpropylidene)glutamic acid ( 3 ) show high affinity for the GluR5 subtype of KA receptors and much lower affinity for the GluR2 subtype of AMPA receptors .
None	O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O O O O O O O	O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O O O O O O O O	As an attempt to develop new pharmacological tools for studies of GluR5 receptors , (S)-E-4-(2-thiazolylmethylene)glutamic acid ( 4a ) was designed as a structural hybrid between 1 and 3 .
None	O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O O O	O O O O O O O B-GENE-Y O O O O O O O O O O O O B-GENE-N O O B-GENE-N O O O O O O	4a was shown to be a potent GluR5 agonist and a high affinity ligand and to indiscriminately bind to the AMPA receptor subtypes GluR1 - 4 with lower affinities .
None	O O O O O O B-CHEMICAL O O O O O O O B-CHEMICAL O O O O O O O O O O B-CHEMICAL O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Compounds 4b-h , in which the 2-thiazolyl substituent of 4a was replaced by other heterocyclic rings , which have previously been incorporated as 5-substituents in AMPA analogues , as exemplified by 1 were also synthesized .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O B-CHEMICAL O O O	O O O O O O O O O O O O O O O O O O B-GENE-N O O O B-GENE-Y O O O O O O O O O O O O B-GENE-N O O O	Compounds 4b-h were either inactive ( 4e , f ) or weaker than 4a as affinity ligands for GluR1 - 4 and GluR5 with relative potencies comparable with those of the corresponding AMPA analogues as AMPA receptor agonists .
None	O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O B-GENE-Y O O O O	Compounds 4a-h may be useful tools for the progressing pharmacophore mapping of the GluR5 agonist binding site .
(0, 3, CPR_6) , (0, 8, CPR_4) , (0, 15, CPR_6)	B-CHEMICAL O O B-CHEMICAL O O O O O O O O O O O B-CHEMICAL O O O	O O O B-GENE-N O O O O B-GENE-Y O O O O O O B-GENE-N O O O	Pranlukast , a leukotriene receptor antagonist , inhibits interleukin-5 production via a mechanism distinct from leukotriene receptor antagonism .
(2, 5, CPR_6) , (2, 10, CPR_6)	O O B-CHEMICAL O O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O	O O O O O B-GENE-Y O O O O B-GENE-Y O O O O O O O O O O O O O O O O	BACKGROUND : Pranlukast , a cysteinyl leukotriene receptor 1 ( CysLTR1 ) antagonist , inhibits not only airway smooth muscle contraction , but also allergic inflammation .
(11, 12, CPR_4) , (11, 14, CPR_4)	O O O O O O O O O O O B-CHEMICAL O O O O O O O O O	O O O O O O O O O O O O B-GENE-Y O B-GENE-Y O O O O O O	The aim of this study was to determine the mechanism of pranlukast-induced interleukin-5 ( IL-5 ) inhibition in allergic inflammation .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O B-CHEMICAL O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	METHODS : Surgically resected human lung tissue was passively sensitized in vitro with mite-allergen-sensitized sera , followed by stimulation with mite allergen after pretreatment of the tissue with pranlukast , dexamethasone , or both .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O	O B-GENE-Y O O O O O O O O O O O O O O B-GENE-Y O B-GENE-Y O O O O O O O	The IL-5 protein level in the culture medium was measured , and in situ hybridization of IL-5 and CysLTR1 mRNA was performed using lung tissues .
(7, 14, CPR_4)	O O O O O O O B-CHEMICAL O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O B-GENE-Y O O O O O O O O O	RESULTS : Pretreatment of lung tissues with pranlukast alone significantly decreased the amount of IL-5 protein in the culture medium by 40 % .
None	O O O B-CHEMICAL O B-CHEMICAL O O O O O	O O O O O O O O O O O	The combination of pranlukast and dexamethasone synergistically enhanced this effect .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O O O O O O	Quantitative in situ hybridization with image analysis revealed abundant expression of IL-5 mRNA in eosinophils , lymphocytes , and mast cells in sensitized and allergen-stimulated lung tissues .
None	O O O O O O O O O O O O O O O O O O O O O O O O	B-GENE-Y O O O O O O O O O O O O O O O O O O O O O O O	CysLTR1 mRNA was detected in macrophages , smooth muscle cells , eosinophils , and mast cells , but was less expressed in lymphocytes .
(0, 3, CPR_4)	B-CHEMICAL O O O O O O O O O O O O O O O O O O O	O O O B-GENE-Y O O O O O O O O O O O B-GENE-Y O O O O	Pranlukast-induced inhibition of IL-5 mRNA expression was noted in various cells , irrespective of their CysLTR1 mRNA expression status .
None	O O O B-CHEMICAL O O O O O O O O O O	O O O O O O O O O O O B-GENE-Y O O	In addition , cysteinyl leukotrienes per se failed to upregulate the IL-5 production .
(6, 8, CPR_4) , (6, 15, CPR_6)	O O O O O O B-CHEMICAL O O O O O O O O O O O	O O O O O O O O B-GENE-Y O O O O O O B-GENE-Y O O	CONCLUSION : Our results indicate that pranlukast inhibits IL-5 synthesis via a mechanism distinct from CysLTR1 antagonism .
None	O O O O O O O O O O O O O O	O B-GENE-N O O O O O O O O O O O O	The platelet P2 receptors as molecular targets for old and new antiplatelet drugs .
None	O O O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O B-GENE-N O O O O O O O O	Platelet activation by ADP and ATP plays a crucial role in haemostasis and thrombosis , and their so-called P2 receptors are potential targets for antithrombotic drugs .
None	O B-CHEMICAL O O O O O O O O O O O O O O O O O O	O B-GENE-Y O O O O O O B-GENE-Y O O B-GENE-Y B-GENE-N O O O O O O O	The ATP-gated channel P2X1 and the 2 G protein-coupled P2Y1 and P2Y12 ADP receptors selectively contribute to platelet aggregation .
None	O O O O O O B-CHEMICAL O O O O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O O O O O O O B-CHEMICAL O O B-CHEMICAL O O O O O O O	O B-GENE-Y O O O O O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O O O O O O O O O O O O O O O O B-GENE-Y O O B-GENE-N O	The P2Y1 receptor is responsible for ADP-induced shape change and weak and transient aggregation , while the P2Y12 receptor is responsible for the completion and amplification of the response to ADP and to all platelet agonists , including thromboxane A2 ( TXA2 ) , thrombin , and collagen .
None	O O O O O O O O O O O O O O O O O O	O B-GENE-Y O O O O O O O O O O O B-GENE-N O O O O	The P2X1 receptor is involved in platelet shape change and in activation by collagen under shear conditions .
None	O O O O O O O O O O O O O O O O O O O O O O O O O B-CHEMICAL O B-CHEMICAL O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O B-GENE-Y O O O O O O O O O O O O O O O O O O O O O O O O O O O	Due to its central role in the formation and stabilization of a thrombus , the P2Y12 receptor is a well-established target of antithrombotic drugs like ticlopidine or clopidogrel , which have proved efficacy in many clinical trials and experimental models of thrombosis .
None	O O O O O O O O O O O O O O O O O O O O O	O B-GENE-Y O O O O O O O O O O O O O O O O O O O	Competitive P2Y12 antagonists have also been shown to be effective in experimental thrombosis as well as in several clinical trials .
None	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O B-GENE-Y O B-GENE-Y O O O O O O O O B-GENE-Y O B-GENE-Y O O O O O O O O O O O O O O O O O O O O O O	Studies in P2Y1 and P2X1 knockout mice and experimental thrombosis models using selective P2Y1 and P2X1 antagonists have shown that , depending on the conditions , these receptors could also be potential targets for new antithrombotic drugs .
None	O O B-CHEMICAL O O O O O O O O O O O	O O O O B-GENE-Y O O O O O O O O O	Effect of thiazolidinediones on equilibrative nucleoside transporter-1 in human aortic smooth muscle cells .
